iteration,avg_loss,best_reward,avg_episode_return,avg_episode_length
417,12.616311073303223,492.55911081923745,202.09950454760138,365.4
418,14.058196544647217,492.55911081923745,176.8569745112581,323.2
419,11.239934206008911,492.55911081923745,182.1393522696399,334.3
420,12.383998155593872,492.55911081923745,180.88098056850086,333.2
421,16.0430965423584,492.55911081923745,178.78411794029063,328.8
422,13.898702621459961,492.55911081923745,182.00612497900687,332.5
423,4.558635115623474,492.55911081923745,189.01874516282305,346.0
424,18.136560916900635,492.55911081923745,197.12819742446604,360.7
425,15.136595726013184,492.55911081923745,194.33303050236242,354.5
426,5.8442089557647705,492.55911081923745,208.1694771057314,382.6
427,11.823277473449707,492.55911081923745,197.08361240518823,359.9
428,16.344544410705566,492.55911081923745,197.8128346077222,361.7
429,11.137931108474731,492.55911081923745,190.73570926545537,351.7
430,12.98697280883789,492.55911081923745,184.6225462223557,335.2
431,16.38663363456726,492.55911081923745,172.77179621131265,314.8
432,14.367346286773682,492.55911081923745,185.71277590184644,335.0
433,10.995194673538208,492.55911081923745,183.9103845791853,334.2
434,12.366440773010254,492.55911081923745,189.08254326643166,342.7
435,3.950300097465515,492.55911081923745,191.6041884990128,346.7
436,18.34450674057007,492.55911081923745,199.94069117062628,360.9
437,283.7362937927246,492.55911081923745,196.14774029340776,355.3
438,328.27392196655273,492.55911081923745,196.4023229615245,355.8
439,147.6761932373047,492.55911081923745,182.77002809229037,331.6
440,82.66454696655273,492.55911081923745,180.3383980948519,328.0
441,51.24259090423584,492.55911081923745,184.93651205273838,336.7
442,33.13341236114502,492.55911081923745,184.9698818888342,335.8
443,19.15284013748169,492.55911081923745,176.6186973544176,321.4
444,14.829841136932373,492.55911081923745,177.83006064320585,321.4
445,20.35699462890625,492.55911081923745,181.34267787521932,329.5
446,25.445159435272217,492.55911081923745,172.62361529528252,317.2
447,13.8008873462677,492.55911081923745,160.37057334476967,297.2
448,7.025192022323608,492.55911081923745,152.44300661750398,283.8
449,17.015461206436157,492.55911081923745,173.4989896906036,319.8
450,13.393516063690186,492.55911081923745,176.6661355671664,324.8
451,3.9679624438285828,492.55911081923745,183.58258015571187,338.7
452,12.57891583442688,492.55911081923745,196.98652397644446,362.7
453,15.476104021072388,492.55911081923745,195.8186002203174,360.4
454,5.376510858535767,492.55911081923745,201.32504277228995,369.1
455,18.867899417877197,492.55911081923745,181.5447347314748,333.2
456,15.909169435501099,492.55911081923745,188.12817605133034,341.8
457,3.621310830116272,492.55911081923745,180.45702424525913,328.6
